source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1911/1911-THN,1911,Kansas State League,0511-eldorado-larned-0,19110511,0,Larned,4,El Dorado,2,HDFKFJL
boxscores/1911/1911-THN,1911,Kansas State League,0511-hutchinson-lyons-0,19110511,0,Lyons,10,Hutchinson,8,WPGVBCL
boxscores/1911/1911-THN,1911,Kansas State League,0511-mcpherson-newton-0,19110511,0,McPherson,7,Newton,3,TBHCJQX
boxscores/1911/1911-TWJ,1911,Kansas State League,0511-greatbend-wellington-0,19110511,0,Great Bend,2,Wellington,1,MKKPBGF
boxscores/1911/1911-THN,1911,Kansas State League,0512-eldorado-larned-0,19110512,0,Larned,2,El Dorado,1,TGPLSGW
boxscores/1911/1911-THN,1911,Kansas State League,0512-hutchinson-lyons-0,19110512,0,Lyons,2,Hutchinson,0,KNYWZSQ
boxscores/1911/1911-THN,1911,Kansas State League,0512-mcpherson-newton-0,19110512,0,McPherson,0,Newton,3,NZWHKKW
boxscores/1911/1911-THN,1911,Kansas State League,0512-greatbend-wellington-0,19110512,0,Great Bend,3,Wellington,2,QKCMZVY
boxscores/1911/1911-THN,1911,Kansas State League,0513-eldorado-larned-0,19110513,0,Larned,2,El Dorado,4,WNRRBKX
boxscores/1911/1911-THN,1911,Kansas State League,0513-hutchinson-lyons-0,19110513,0,Lyons,3,Hutchinson,5,JDPKVPV
boxscores/1911/1911-THN,1911,Kansas State League,0513-mcpherson-newton-0,19110513,0,McPherson,2,Newton,4,PMSVVFR
boxscores/1911/1911-THN,1911,Kansas State League,0513-greatbend-wellington-0,19110513,0,Great Bend,5,Wellington,0,QDTBQSN
boxscores/1911/1911-THN,1911,Kansas State League,0514-eldorado-greatbend-0,19110514,0,Great Bend,6,El Dorado,4,KZJMVHJ
boxscores/1911/1911-THN,1911,Kansas State League,0514-hutchinson-lyons-0,19110514,0,Lyons,0,Hutchinson,5,ZSXXTZP
boxscores/1911/1911-THN,1911,Kansas State League,0514-mcpherson-newton-0,19110514,0,McPherson,2,Newton,6,RYFPTNN
