source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1910/1910-LAH,1910,Pacific Coast League,0330-losangeles-vernon-0,19100330,0,Vernon,0,Los Angeles,1,LCGXZMD
boxscores/1910/1910-OT,1910,Pacific Coast League,0330-oakland-sacramento-0,19100330,0,Oakland,2,Sacramento,18,RHHVQLP
boxscores/1910/1910-SFE,1910,Pacific Coast League,0330-portland-sanfrancisco-0,19100330,0,Portland,0,San Francisco,4,RPVPMTK
boxscores/1910/1910-SFE,1910,Pacific Coast League,0331-oakland-sacramento-0,19100331,0,Oakland,3,Sacramento,2,SNZFMVQ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0331-portland-sanfrancisco-0,19100331,0,Portland,2,San Francisco,2,VVLDGHV
boxscores/1910/1910-SFE,1910,Pacific Coast League,0331-losangeles-vernon-0,19100331,0,Los Angeles,4,Vernon,10,TVJZSVG
boxscores/1910/1910-SFE,1910,Pacific Coast League,0401-oakland-sacramento-0,19100401,0,Oakland,3,Sacramento,0,GFDFNHP
boxscores/1910/1910-SFE,1910,Pacific Coast League,0401-portland-sanfrancisco-0,19100401,0,Portland,3,San Francisco,0,QBQTKNH
boxscores/1910/1910-SFE,1910,Pacific Coast League,0401-losangeles-vernon-0,19100401,0,Los Angeles,2,Vernon,8,CWWDSLK
boxscores/1910/1910-SFE,1910,Pacific Coast League,0402-oakland-sacramento-0,19100402,0,Oakland,0,Sacramento,2,NTQVCBP
boxscores/1910/1910-SFE,1910,Pacific Coast League,0402-portland-sanfrancisco-0,19100402,0,Portland,4,San Francisco,0,SMJRLBQ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0402-losangeles-vernon-0,19100402,0,Los Angeles,2,Vernon,3,CSNFSJC
boxscores/1910/1910-SFE,1910,Pacific Coast League,0403-oakland-sacramento-0,19100403,0,Oakland,1,Sacramento,4,PKGVQPW
boxscores/1910/1910-SFE,1910,Pacific Coast League,0403-portland-sanfrancisco-1,19100403,1,Portland,4,San Francisco,5,YYNDPJZ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0403-portland-sanfrancisco-2,19100403,2,Portland,2,San Francisco,4,VWWDZPJ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0403-losangeles-vernon-1,19100403,1,Los Angeles,1,Vernon,4,QVTKGVF
boxscores/1910/1910-LAH,1910,Pacific Coast League,0403-losangeles-vernon-2,19100403,2,Los Angeles,0,Vernon,1,QHZXLLC
boxscores/1910/1910-SFE,1910,Pacific Coast League,0405-oakland-sanfrancisco-0,19100405,0,San Francisco,2,Oakland,1,FGJWCQR
boxscores/1910/1910-SFE,1910,Pacific Coast League,0405-oakland-sanfrancisco-0,19100405,0,San Francisco,2,Oakland,1,HMMHRZX
boxscores/1910/1910-SFE,1910,Pacific Coast League,0405-losangeles-sacramento-0,19100405,0,Los Angeles,4,Sacramento,3,JVMBKZL
boxscores/1910/1910-SFE,1910,Pacific Coast League,0405-portland-vernon-0,19100405,0,Portland,10,Vernon,1,DSBFWSH
boxscores/1910/1910-SFE,1910,Pacific Coast League,0406-oakland-sanfrancisco-0,19100406,0,San Francisco,11,Oakland,5,CPWSPQZ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0406-losangeles-sacramento-0,19100406,0,Los Angeles,1,Sacramento,2,DCCXQNG
boxscores/1910/1910-SFE,1910,Pacific Coast League,0406-portland-vernon-0,19100406,0,Portland,6,Vernon,3,FSVHLTG
boxscores/1910/1910-SFE,1910,Pacific Coast League,0407-oakland-sanfrancisco-0,19100407,0,San Francisco,3,Oakland,1,XSRDKCP
boxscores/1910/1910-SFE,1910,Pacific Coast League,0407-losangeles-sacramento-0,19100407,0,Los Angeles,7,Sacramento,0,TVKSDPK
boxscores/1910/1910-SFE,1910,Pacific Coast League,0407-portland-vernon-0,19100407,0,Portland,2,Vernon,5,GTGHPJV
boxscores/1910/1910-SFE,1910,Pacific Coast League,0408-oakland-sanfrancisco-0,19100408,0,San Francisco,2,Oakland,6,XVYBCPS
boxscores/1910/1910-SFE,1910,Pacific Coast League,0408-losangeles-sacramento-0,19100408,0,Los Angeles,2,Sacramento,0,HBCKDZC
boxscores/1910/1910-SFE,1910,Pacific Coast League,0408-portland-vernon-0,19100408,0,Portland,1,Vernon,2,GBHWHXX
boxscores/1910/1910-SFE,1910,Pacific Coast League,0409-oakland-sanfrancisco-0,19100409,0,San Francisco,4,Oakland,2,NDKCQQL
boxscores/1910/1910-SFE,1910,Pacific Coast League,0409-losangeles-sacramento-0,19100409,0,Los Angeles,1,Sacramento,0,XFMPCSX
boxscores/1910/1910-SFE,1910,Pacific Coast League,0409-portland-vernon-0,19100409,0,Portland,8,Vernon,2,LKMHCMZ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0410-oakland-sanfrancisco-1,19100410,1,San Francisco,2,Oakland,6,QQWWJNV
boxscores/1910/1910-SFE,1910,Pacific Coast League,0410-oakland-sanfrancisco-2,19100410,2,San Francisco,,Oakland,,MMQFHYQ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0410-losangeles-sacramento-0,19100410,0,Los Angeles,5,Sacramento,2,DRJZMXR
boxscores/1910/1910-SFE,1910,Pacific Coast League,0410-portland-vernon-1,19100410,1,Portland,1,Vernon,4,LLDSKDJ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0410-portland-vernon-2,19100410,2,Portland,4,Vernon,4,NMZGMYP
