source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,baird,B00229,Baird,,0,Springfield,,,73,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,baird,F20661,Baird,,0,Springfield,,,,,3b66
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,bay,B00293,Bay,,0,Bloomington,,,136,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,bay,F21125,Bay,,0,Bloomington,,,,,lf136
minoraverages/emilbb,1912,Illinois-Indiana-Iowa League,bay,M91173,Bay,Harry,,Bloomington,,,,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,beatty,B00163,Beatty,,0,Dubuque,,,139,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,beatty,F20391,Beatty,,0,Dubuque,,,,,1b137
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,biltz,B00076,Biltz,,0,Decatur,,,72,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,biltz,F21286,Biltz,,0,Decatur,,,,,cf63
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,blake,B00488,Blake,,1,Danville,,,,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,blake,B00488,Blake,,2,Decatur,,,,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,blake,B00488,Blake,,T,,,,130,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,blake,F20482,Blake,,1,Decatur,,,,,2b
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,blake,F20482,Blake,,2,Danville,,,,,2b
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,blake,F20482,Blake,,T,,,,,,2b58
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,blake,F20810,Blake,,1,Danville,,,,,ss
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,blake,F20810,Blake,,2,Decatur,,,,,ss
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,blake,F20810,Blake,,T,,,,,,ss72
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,blausser,B00416,Blausser,,0,Danville,,,45,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,blausser,F20657,Blausser,,0,Danville,,,,,3b45
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,bluejacket,P10081,Bluejacket,,0,Bloomington,,,,11,p
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,boucher,B00705,Boucher,,0,Dubuque,,,101,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,boucher,F20072,Boucher,,0,Dubuque,,,,,c86
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,boucher,F20233,Boucher,,0,all,,,,,c
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,bromwich,B00308,Bromwich,,0,Davenport,,,138,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,bromwich,F20612,Bromwich,,0,Davenport,,,,,3b138
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,burgwald,B00695,Burgwald,,1,Bloomington,,,,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,burgwald,B00695,Burgwald,,2,Springfield,,,,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,burgwald,B00695,Burgwald,,T,,,,134,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,burgwald,F20636,Burgwald,,0,Bloomington,,,,,3b74
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,burgwald,F20792,Burgwald,,1,Bloomington,,,,,ss
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,burgwald,F20792,Burgwald,,2,Springfield,,,,,ss
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,burgwald,F20792,Burgwald,,T,,,,,,ss51
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,burnham,P10320,Burnham,,0,Dubuque,,,,13,p
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,buzick,B00973,Buzick,,0,Danville,,,89,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,buzick,F20604,Buzick,,0,Danville,,,,,3b89
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,chapman,B00672,Chapman,,0,Danville,,,41,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,chapman,F21045,Chapman,,0,Danville,,,,,p26
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,chapman,P10304,Chapman,,0,Danville,,,,26,p
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,clark,P10385,Clark,,0,Dubuque,,,,11,p
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,clemens,B00343,Clemens,B.,0,Davenport,,,132,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,clemens,F21255,Clemens,B.,0,Davenport,,,,,cf132
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,coachman,P10407,Co'chm'n,,1,Quincy,,,,,p
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,coachman,P10407,Co'chm'n,,2,Decatur,,,,,p
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,coachman,P10407,Co'chm'n,,T,,,,,18,p
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,coleman,B00210,Coleman,,0,Davenport,,,129,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,coleman,F20023,Coleman,,0,Davenport,,,,,c128
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,coleman,F20189,Coleman,,0,all,,,,,c
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,collins,B00450,Collins,,0,Springfield,,,120,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,collins,F21158,Collins,,0,Springfield,,,,,lf120
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,coombs,B00840,Coombs,,1,Danville,,,,,
minoraverages/1913Reach,1912,Illinois-Indiana-Iowa League,coombs,B00840,Coombs,,2,Peoria,,,,,
