source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
boxscores/1911/1911-THN,1911,Kansas State League,abbott,P7432593,Abbott,,,Lyons,19110511,19110531,15,0,"1b14,2b1,3b1"
boxscores/1911/1911-THN,1911,Kansas State League,acock,P3702020,Acock,,,Hutchinson,19110511,19110531,18,0,2b18
boxscores/1911/1911-THN,1911,Kansas State League,allen,P3906919,Allen,,,Newton,19110511,19110531,16,0,"c12,1b4"
boxscores/1911/1911-THN,1911,Kansas State League,annis,P7351811,Annis,,,El Dorado,19110511,19110531,13,0,"2b9,ss4"
boxscores/1911/1911-THN,1911,Kansas State League,armstrong,P3174968,Armstrong,,,Newton,19110511,19110521,4,0,1b4
boxscores/1911/1911-THN,1911,Kansas State League,bechtold,P4438627,Bechtel,,,Great Bend,19110527,19110527,1,0,3b1
boxscores/1911/1911-THN,1911,Kansas State League,bechtold,P2135857,Bechtold,,,Great Bend,19110514,19110531,12,0,"3b1,of11,lf11"
boxscores/1911/1911-TWJ,1911,Kansas State League,bechtold,P3417436,Bechtold,,,Great Bend,19110511,19110511,1,0,"of1,lf1"
boxscores/1911/1911-THN,1911,Kansas State League,bechtold,P5938100,Becktold,,,Great Bend,19110513,19110515,2,0,"of2,lf2"
boxscores/1911/1911-THN,1911,Kansas State League,bechtold,P8923061,Becktole,,,Great Bend,19110512,19110512,1,0,"of1,lf1"
boxscores/1911/1911-THN,1911,Kansas State League,berte,P7654952,Berte,,,Larned,19110511,19110531,16,0,ss15
boxscores/1911/1911-THN,1911,Kansas State League,block,P6527214,Block,,,Hutchinson,19110511,19110531,18,0,"of18,lf1,cf17"
boxscores/1911/1911-THN,1911,Kansas State League,boley@ump,P8377229,Boley,,,#umpire,19110523,19110523,,,
boxscores/1911/1911-THN,1911,Kansas State League,boley,P9671953,Boley,,,Larned,19110519,19110531,5,3,"p3,of1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,boley,P4937324,Boly,,,Larned,19110512,19110516,2,2,p2
boxscores/1911/1911-THN,1911,Kansas State League,bumb,P0596876,Bomb,,,Great Bend,19110514,19110514,1,0,1b1
boxscores/1911/1911-THN,1911,Kansas State League,boone,P2408534,Boone,,,Wellington,19110512,19110517,4,4,p4
boxscores/1911/1911-THN,1911,Kansas State League,brannon,P3328952,Brannon,,,El Dorado,19110511,19110531,17,0,3b17
boxscores/1911/1911-THN,1911,Kansas State League,brown,P8817099,Brown,,,Hutchinson,19110527,19110527,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,bumb,P4332050,Bumb,,,Great Bend,19110512,19110531,15,0,"c1,1b15"
boxscores/1911/1911-TWJ,1911,Kansas State League,bumb,P1199549,Bumb,,,Great Bend,19110511,19110511,1,0,1b1
boxscores/1911/1911-THN,1911,Kansas State League,campbell,P1050486,Campbell,,,Larned,19110517,19110531,10,0,3b10
boxscores/1911/1911-THN,1911,Kansas State League,campfield,P6154196,Campfield,,,McPherson,19110511,19110525,14,0,c14
boxscores/1911/1911-THN,1911,Kansas State League,chadwick,P8629236,Chadwick,,,Larned,19110511,19110531,15,0,"of15,lf15"
boxscores/1911/1911-THN,1911,Kansas State League,chase,P5947801,Chase,,,Lyons,19110511,19110531,15,0,"2b14,3b1"
boxscores/1911/1911-THN,1911,Kansas State League,chelgood,P0977147,Chelgood,,,Larned,19110514,19110514,1,0,
boxscores/1911/1911-THN,1911,Kansas State League,chelgood,P9573863,Chellgood,,,Larned,19110512,19110531,12,0,2b12
boxscores/1911/1911-THN,1911,Kansas State League,chelgood,P2063979,Chillgood,,,Larned,19110511,19110511,1,0,2b1
boxscores/1911/1911-THN,1911,Kansas State League,clark-ly,P9045218,Clark,,,Lyons,19110511,19110531,15,0,"of15,lf15"
boxscores/1911/1911-THN,1911,Kansas State League,clarke-wel,P1791285,Clarke,,,Wellington,19110515,19110515,1,0,"of1,cf1"
boxscores/1911/1911-THN,1911,Kansas State League,clawson,P6127014,Clawson,,,McPherson,19110524,19110524,1,0,
boxscores/1911/1911-THN,1911,Kansas State League,clawson,P7407410,Clawson,,,Newton,19110526,19110531,2,2,p2
boxscores/1911/1911-THN,1911,Kansas State League,conners,P7514575,Conner,,,El Dorado,19110517,19110531,4,4,p4
boxscores/1911/1911-THN,1911,Kansas State League,conners,P9471874,Conners,,,El Dorado,19110513,19110515,2,1,"p1,of1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,crittenden-lar,P7236998,Crittenden,,,Larned,19110511,19110531,16,0,"c15,2b1,of1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,doane,P1805809,Doane,,,El Dorado,19110515,19110515,1,0,c1
boxscores/1911/1911-THN,1911,Kansas State League,donovan,P5774296,Donovan,,,Hutchinson,19110511,19110531,11,3,"p3,1b1,of3,lf1,rf2"
boxscores/1911/1911-THN,1911,Kansas State League,dressen,P9006633,Dressen,,,Lyons,19110511,19110531,8,4,"p4,1b2,of2,rf2"
boxscores/1911/1911-THN,1911,Kansas State League,eckstein,P2899586,Eckstein,,,Great Bend,19110526,19110527,2,0,"of2,lf1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,eckstein,P9644273,Eckstein,,,Newton,19110514,19110521,5,0,"of5,rf5"
boxscores/1911/1911-THN,1911,Kansas State League,edmiston,P5620390,Edmiston,,,Hutchinson,19110511,19110531,18,0,ss17
boxscores/1911/1911-THN,1911,Kansas State League,ehret,P2048839,Ehret,,,McPherson,19110520,19110520,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,eckstein,P2940837,Eksten,,,Newton,19110515,19110515,1,0,"of1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,eckstein,P0255715,Eppstein,,,Newton,19110512,19110516,3,0,"of3,rf3"
boxscores/1911/1911-THN,1911,Kansas State League,errett,P3654405,Errett,,,McPherson,19110513,19110525,3,3,p3
boxscores/1911/1911-THN,1911,Kansas State League,fairview,P4217043,Fairview,,,Larned,19110515,19110515,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,falkenberg,P7942333,Falkenberg,,,Great Bend,19110519,19110531,9,0,"2b7,3b1,of1,rf1"
